YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,9.17,11.97,13.57,13.07,15.67,16.97,19.07,20.57,20.67,17.87,12.47,11.07,10.66,14.10,18.87,17.00,15.16
1881,11.37,11.77,14.07,14.37,17.27,19.17,21.77,23.47,19.97,16.27,14.67,9.97,11.40,15.24,21.47,16.97,16.27
1882,10.07,11.87,13.47,13.97,15.57,17.87,20.27,20.97,17.97,16.37,13.67,10.66,10.64,14.34,19.70,16.00,15.17
1883,10.86,11.46,10.46,13.76,14.56,17.16,19.46,21.56,18.76,15.76,13.46,9.46,10.99,12.93,19.39,15.99,14.83
1884,11.16,10.56,12.36,12.16,16.36,19.06,21.36,22.36,19.46,16.36,12.46,10.25,10.39,13.63,20.93,16.09,15.26
1885,9.35,12.95,11.85,12.25,15.95,18.65,19.45,20.35,20.05,14.65,12.95,10.25,10.85,13.35,19.48,15.88,14.89
1886,9.65,10.35,13.65,14.05,15.45,18.95,21.55,21.95,19.65,15.65,11.95,11.45,10.08,14.38,20.82,15.75,15.26
1887,10.05,9.75,13.15,13.25,16.55,21.95,22.15,22.05,19.15,15.35,13.25,9.94,10.42,14.32,22.05,15.92,15.68
1888,9.74,8.14,11.04,12.64,17.54,18.54,19.64,21.44,20.54,17.14,13.54,11.54,9.27,13.74,19.87,17.07,14.99
1889,9.24,10.74,11.54,12.24,14.24,17.34,19.94,20.54,20.04,15.44,13.54,9.13,10.51,12.67,19.27,16.34,14.70
1890,10.83,9.73,11.03,13.23,14.23,20.63,20.43,19.83,20.03,17.93,12.83,9.63,9.90,12.83,20.30,16.93,14.99
1891,8.33,10.93,11.63,14.03,15.03,19.53,21.03,20.63,19.63,16.43,13.43,11.02,9.63,13.56,20.40,16.50,15.02
1892,10.02,11.12,12.52,14.12,17.52,19.52,20.82,22.12,20.62,15.52,14.02,10.42,10.72,14.72,20.82,16.72,15.74
1893,9.82,11.12,14.72,15.12,17.82,20.12,22.62,22.42,19.82,18.02,13.32,10.42,10.45,15.89,21.72,17.05,16.28
